res_id,rtr_pic_loc
"(3,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190429_107%2F1556514706111EFALT_JPEG%2F984q4cyuplk15y99RTAUr1ZM.JPG.jpg
"(3,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190429_226%2F15565147061207qOUn_JPEG%2F345pLV3Y4XBJ0xO13fhRQOSZ.JPG.jpg
"(3,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190429_96%2F1556514705705OBxnO_JPEG%2FmjKlLkSlQJ-6WFiO4NlKsRsR.JPG.jpg
"(3,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190429_292%2F1556514706564FItP7_JPEG%2Fp4_gk6qjyVHUQPTFAvZ5qpmj.JPG.jpg
"(4,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201215_245%2F1608014491910nHWlb_JPEG%2FxbxieeiuKFUSvnRvv-gTxEJi.jpg
"(4,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201215_241%2F16080145101023wgjL_JPEG%2FE6To3ph7PwEcqIfFV9jozvlU.jpg
"(4,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201215_285%2F16080145238821vcOb_JPEG%2FwU4VcaTe8vcOge-JnQdCCxIE.jpg
"(4,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201215_273%2F1608014530666ufqjp_JPEG%2F-NXGXimSFJjcoJLCipeulW3i.jpg
"(4,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201215_69%2F1608014537238Ys6dE_JPEG%2FJIGgU6R2JNBN4GNauRWdRLGM.jpg
"(5,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180719_291%2F1531963212962E7UtF_JPEG%2Fjs6nym-tYgTuhAIvlWQOYhJN.JPG.jpg
"(5,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191204_108%2F15754544417014UmgJ_JPEG%2Fiq0xmpnWJfPp2iQuG-Iyhg4Q.jpg
"(5,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180719_279%2F1531963176323VTgbD_JPEG%2Fux8MLE9KK6GRBO_1G6wZCuur.JPG.jpg
"(5,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180719_100%2F15319631858415vmPp_JPEG%2Fm2Tz9G1y4mFsuumR9wqU1cdE.JPG.jpg
"(5,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180719_133%2F15319631933373eREW_JPEG%2FgIYQTYnJPMwoHK8s3LPG7VmC.JPG.jpg
"(6,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200614_176%2F1592078222702jrFpX_PNG%2Ff09rO8V_R_KYm4l18FXbvjBz.png
"(6,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210125_236%2F1611540447407tn5ao_JPEG%2FJKcVxe8izsSbOSmi1UkrXAl_.jpg
"(6,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_194%2F1441055038024gDlQu_JPEG%2F106163577377445_0.jpg
"(6,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210125_86%2F1611540386876EorLd_PNG%2F1q9cS0aZTRsoE8dcbCyv_WLE.png
"(6,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160707_251%2F14678878136211W396_JPEG%2F176657596658211_39.jpeg
"(7,)",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190607_250%2F1559901334427tXP1v_JPEG%2FGjru8SCpLNm9AmahyIO2eTWr.jpg
"(7,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201201_97%2F1606797834131lqmKD_JPEG%2F4qQXVxw8ctqdb0MVDqrNWbCZ.jpg
"(7,)",https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190607_298%2F1559901659125XacgO_PNG%2FNs_Q2pjL5lKzy_jCoivy5Kts.png
